id	Country	happyLifeYears	Footprint	Inequality	LifeExpectancy	Wellbeing	happyPlanetIndex		Population
110	Afghanistan	124	8	43	383	34	202		29726803
13	Albania	344	22	17	697	51	368		2900489
30	Algeria	305	21	24	605	52	333		37439427
19	Argentina	402	31	16	683	60	352		42095224
73	Armenia	240	22	22	669	37	257		2978339
105	Australia	531	93	8	786	69	212		22728254
43	Austria	544	61	7	780	71	305		8429991
8	Bangladesh	233	7	27	566	43	384		155257387
102	Belarus	340	51	13	667	53	217		9464000
87	Belgium	495	74	9	772	66	237		11128246
27	Belize	342	25	18	617	57	338		336707
137	Benin	99	14	44	373	28	134		10049792
56	Bhutan	274	23	27	545	52	286		743711
92	Bolivia	256	30	35	479	55	233		10238762
76	Bosnia and Herzegovina	286	31	19	711	42	253		3828419
126	Botswana	213	38	28	508	43	166		2132822
23	Brazil	390	31	22	633	63	343		202401584
109	Bulgaria	240	33	19	681	37	204		7305888
119	Burkina Faso	126	12	43	365	36	179		16590813
131	Burundi	95	8	48	330	30	156		10124572
74	Cambodia	182	12	28	542	35	256		14832255
124	Cameroon	116	12	47	331	37	167		21659488
85	Canada	539	82	9	778	71	239		34751476
140	Chad	96	15	51	273	37	128		12715465
35	Chile	447	44	14	749	61	317		17388437
72	China	306	34	17	686	46	257		1350695000
3	Colombia	351	19	24	631	57	407		46881018
93	Comoros	154	10	36	433	37	231		733661
1	Costa Rica	482	28	15	726	68	447		4654148
135	Cote d'Ivoire	103	13	45	306	35	144		21102641
47	Croatia	396	39	12	735	55	302		4267558
41	Cyprus	423	42	12	766	57	307		1129303
64	Czech Republic	434	52	9	755	59	273		10510785
32	Denmark	544	55	7	768	72	327		5591572
127	Djibouti	151	22	42	414	38	164		853069
45	Dominican Republic	237	15	30	608	41	303		10155036
10	Ecuador	343	22	22	641	55	370		15419493
86	Egypt	218	22	23	613	37	238		85660902
17	El Salvador	322	21	22	625	53	356		6072233
118	Estonia	350	69	12	726	50	179		1322696
66	Ethiopia	178	10	36	438	42	267		92191211
37	Finland	546	59	6	776	72	313		5413971
44	France	481	51	9	785	63	304		65639975
120	Gabon	154	20	36	458	35	175		1613489
40	Georgia	247	16	20	669	38	311		3825000
49	Germany	482	53	8	776	64	298		80425823
104	Ghana	188	20	38	422	46	214		25544565
89	Greece	333	44	16	776	45	236		11045011
26	Guatemala	296	19	27	592	52	342		15368759
129	Guyana	118	14	42	372	33	159		11628767
57	Haiti	165	6	37	429	40	286		10288828
65	Honduras	221	17	31	585	39	272		7736131
123	Hong Kong	401	88	10	813	51	168		7154600
69	Hungary	287	29	15	709	42	264		9920362
39	Iceland	580	64	5	798	74	311		320716
50	India	204	12	31	511	42	292		1263589639
16	Indonesia	284	16	21	572	51	357		248037853
84	Iran	254	28	23	669	40	240		76156975
67	Iraq	228	19	27	556	43	265		32780975
48	Ireland	503	56	8	775	67	300		4586897
54	Israel	525	62	8	787	68	288		7910500
60	Italy	411	46	12	802	53	281		59539717
11	Jamaica	319	19	21	663	50	369		2707805
58	Japan	440	50	9	806	56	283		127561489
114	Kazakhstan	317	56	18	607	54	191		16791425
83	Kenya	162	10	38	410	41	242		42542978
31	Kyrgyzstan	287	19	18	602	49	331		5607200
121	Latvia	312	63	14	687	47	171		2034319
100	Lebanon	282	38	19	731	40	219		4440728
125	Lesotho	134	17	42	326	43	167		2057331
96	Liberia	157	12	38	403	41	222		4190155
107	Lithuania	364	58	11	688	54	210		2987773
139	Luxembourg	517	158	7	790	67	132		530946
90	Macedonia	272	33	18	694	41	234		2069270
98	Malawi	137	8	45	404	35	221		15700436
46	Malaysia	383	37	10	695	57	303		29021940
53	Malta	408	44	13	766	55	290		419455
117	Mauritania	180	25	37	415	45	180		3777067
63	Mauritius	331	35	17	667	51	274		1255882
2	Mexico	443	29	19	663	68	407		122070963
136	Mongolia	253	61	22	569	46	143		2808339
78	Montenegro	321	38	16	718	46	251		620601
33	Morocco	267	17	25	616	45	327		32984190
88	Mozambique	150	9	43	345	45	237		25732928
81	Myanmar	188	14	32	484	40	247		52543841
103	Namibia	213	25	26	501	44	216		2291645
42	Nepal	202	10	27	553	38	305		27500515
18	Netherlands	570	53	4	782	75	353		16754962
38	New Zealand	527	56	8	777	69	313		4408100
7	Nicaragua	292	14	25	634	48	387		5877034
122	Niger	131	16	40	389	35	168		17635782
95	Nigeria	155	12	44	309	52	222		168240403
12	Norway	571	50	7	786	74	368		5018573
106	Oman	445	75	13	709	64	211		3545192
36	Pakistan	195	8	40	441	46	315		177392252
22	Palestine	245	12	24	626	41	345		4046901
6	Panama	421	28	19	683	63	395		3743761
91	Paraguay	318	42	22	594	55	233		6379162
21	Peru	329	23	21	635	53	346		30158768
20	Philippines	241	11	26	569	44	350		96017322
62	Poland	392	44	11	729	55	275		38063164
79	Portugal	323	39	16	772	43	248		10514844
115	Republic of Congo	136	13	40	420	34	188		4286188
55	Romania	301	27	19	681	46	288		20058035
116	RussianFederation	317	57	16	634	52	187		143201676
111	Rwanda	124	9	37	443	30	196		10817350
101	Senegal	155	12	33	491	33	219		13780108
52	Serbia	303	27	19	686	46	290		7199077
133	Sierra Leone	108	12	50	282	40	153		6043157
59	Slovakia	379	41	13	719	54	282		5407579
82	Slovenia	426	58	10	771	57	246		2057159
128	South Africa	185	33	33	418	46	159		52341695
80	South Korea	422	57	11	783	55	248		50004441
15	Spain	453	37	10	793	59	360		46773055
28	Sri Lanka	249	13	17	686	38	338		20424000
75	Suriname	352	42	19	612	59	254		528535
132	Swaziland	136	20	41	318	44	155		1231694
61	Sweden	574	72	6	791	74	280		9519374
24	Switzerland	593	58	6	794	76	343		7996861
113	Syria	147	15	30	602	26	191		21427155
25	Tajikistan	222	9	26	530	43	342		7930929
97	Tanzania	162	13	33	477	36	221		48645709
9	Thailand	386	27	15	663	60	373		67164130
138	Togo	90	11	43	396	24	132		6745581
130	Trinidad and Tobago	344	79	21	584	60	157		1341579
71	Tunisia	252	23	22	655	40	262		10777500
68	Turkey	312	33	19	662	49	264		74099255
134	Turkmenistan	240	55	31	483	51	146		5172941
112	Uganda	138	12	41	368	39	194		35400620
70	Ukraine	283	28	17	642	46	264		45593300
34	United Kingdom	491	49	9	768	66	319		63700300
108	United States	468	82	13	740	65	207		314112078
14	Uruguay	394	29	18	696	58	361		3396753
51	Uzbekistan	279	23	30	516	56	291		29774500
4	Vanuatu	349	19	22	603	59	406		247498
29	Venezuela	415	36	19	655	65	336		29854238
5	Vietnam	328	16	19	648	52	403		88809200
94	Yemen	152	10	39	447	36	228		24882792
77	Zambia	167	10	41	387	45	252		14786581
99	Zimbabwe	164	14	37	369	46	221		14565482